dataset;acck=1;acck=3;acck=5;acck=10;acck=15;acck=20;build_tree_sec;distance_calc_sec;total_secs
BasicMotions;0.8;0.725;0.725;0.625;0.55;0.275;5.2649846999993315;44.105966099996294;49.383198976516724
BME;0.8066666666666666;0.7666666666666667;0.7066666666666667;0.56;0.4666666666666667;0.6;8.992240799998399;38.22039080000104;47.23336935043335
Chinatown;0.9358600583090378;0.9387755102040817;0.8688046647230321;0.9387755102040817;0.8454810495626822;0.27405247813411077;3.774275999996462;50.54933689999598;54.3522744178772
DistalPhalanxTW;0.6474820143884892;0.6690647482014388;0.6546762589928058;0.6546762589928058;0.6474820143884892;0.6474820143884892;118.47652129999915;957.0556958000016;1075.5819239616394
ItalyPowerDemand;0.9582118561710399;0.9523809523809523;0.9494655004859086;0.9407191448007775;0.9387755102040817;0.923226433430515;11.807274899998447;180.15901109999686;192.04864835739136

BasicMotions;0.725;0.725;0.675;0.6;0.525;0.4;4.256402099999832;118.65175109999836;122.92536497116089
BME;0.7933333333333333;0.76;0.7266666666666667;0.54;0.4866666666666667;0.6;5.635063699999591;157.85228829999687;163.50486278533936
Chinatown;0.9475218658892128;0.9591836734693877;0.8775510204081632;0.9591836734693877;0.8658892128279884;0.27405247813411077;2.7667720000026748;206.26414839999052;209.05816268920898
DistalPhalanxTW;0.5899280575539568;0.60431654676259;0.6187050359712231;0.6618705035971223;0.6330935251798561;0.6115107913669064;28.375706000006176;7472.377883499983;7500.798092842102
ItalyPowerDemand;0.9484936831875608;0.9504373177842566;0.9533527696793003;0.9591836734693877;0.9533527696793003;0.9552964042759962;6.797295399999712;2375.904684100009;2382.775450706482
